Row,Error,Row Data
40,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:27:58', 'USERNAME': 'birutua99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:29:02', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 20}"
41,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:25:20', 'USERNAME': 'reski1288', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:27:54', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
42,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:25:18', 'USERNAME': 'gacir88', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:26:22', 'PROCESS BY': 'xpukul69', 'AMOUNT': 26}"
43,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:24:38', 'USERNAME': 'tumbuk009', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:25:21', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 70}"
44,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:21:16', 'USERNAME': 'xxxxx22', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:21:51', 'PROCESS BY': 'xpukul69', 'AMOUNT': 54}"
45,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:19:30', 'USERNAME': 'sulis112222', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:19:41', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 50}"
46,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:18:33', 'USERNAME': 'leocan81', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:19:30', 'PROCESS BY': 'xpukul69', 'AMOUNT': 32}"
47,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:16:53', 'USERNAME': 'afendi123', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:17:11', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 50}"
48,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:14:34', 'USERNAME': 'furz99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:15:16', 'PROCESS BY': 'xpukul69', 'AMOUNT': 25}"
49,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:13:40', 'USERNAME': 'warti79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:14:23', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
50,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:10:39', 'USERNAME': 'uiop33', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:12:03', 'PROCESS BY': 'xpukul69', 'AMOUNT': 40}"
51,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:09:54', 'USERNAME': 'karin333', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:10:45', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
52,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:07:48', 'USERNAME': 'afendi123', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:08:37', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 45}"
53,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:56:39', 'USERNAME': 'warti79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:01:24', 'PROCESS BY': 'xpukul69', 'AMOUNT': 49}"
54,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:55:34', 'USERNAME': 'saidahh', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:55:53', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 25}"
55,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:53:04', 'USERNAME': 'bold12346', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:54:31', 'PROCESS BY': 'xpukul69', 'AMOUNT': 20}"
56,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:48:45', 'USERNAME': 'kucing99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:49:06', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 30}"
57,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:38:51', 'USERNAME': 'riki79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:40:21', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 900}"
58,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:35:20', 'USERNAME': 'anggiagus', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:35:37', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 30}"
59,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:26:44', 'USERNAME': 'zhiee', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:28:01', 'PROCESS BY': 'xpukul69', 'AMOUNT': 25}"
60,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:27:02', 'USERNAME': 'kucing99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:27:32', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 20}"
61,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:25:01', 'USERNAME': 'gepeng1982', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:27:00', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
62,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:25:04', 'USERNAME': 'nipeng123', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:25:34', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
63,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:24:49', 'USERNAME': 'roma1122331', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:25:22', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
64,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:16:25', 'USERNAME': 'neninur82', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:17:01', 'PROCESS BY': 'xpukul69', 'AMOUNT': 20}"
